Data;Byggindustri                            ;Civila myndigheter och försvaret        ;Enheter för vård och omsorg             ;Fastighetsbolag                         ;Företag inom energi och miljö           ;Företagstjänster                        ;Handel                                  ;Hotell och restauranger                 ;Informations- och kommunikationsföretag ;Jordbruk, skogsbruk och fiske           ;Kreditinstitut och försäkringsbolag     ;Okänt                                   ;Personliga och kulturella tjänster m.m. ;Tillverknings- och utvinningsindustri   ;Transportföretag                        ;Utbildningsväsendet                     
Sum of 2000;229819;215936;604092;54560;36706;363584;486722;103323;164442;72656;85567;83050;157028;738590;225904;429891
Sum of 2001;237646;220829;627062;54070;36029;378672;482832;101965;169195;70667;85621;78865;161587;721128;224905;440007
Sum of 2002;239673;230465;662763;57420;41873;363032;494065;101926;162224;69411;88932;80257;170210;718427;225014;430006
Sum of 2003;235994;231409;669916;56803;45570;356870;495352;103736;154066;67133;85951;61471;169181;699737;219376;430817
Sum of 2004;240687;237106;678937;61615;46557;369401;510510;110588;155330;72773;84895;64921;180060;693101;220391;435624
Sum of 2005;251113;237460;681967;62453;47009;374447;515067;110383;159412;74780;84677;54674;181783;678099;219736;442003
Sum of 2006;267124;246556;698673;63933;47449;404970;526115;114843;161790;73619;87666;52794;185878;678800;220331;450228
Sum of 2007;285076;246201;708274;66050;48449;432544;541847;125143;166850;72381;89993;51589;186626;689064;227242;453231
Sum of 2008;293637;239555;704889;65950;44406;470817;546439;128393;168863;74307;91135;50674;184725;664923;227321;450755
Sum of 2009;288532;240410;700182;66512;44775;457696;529618;129816;165920;76198;88887;45895;187024;595211;218587;445480
Sum of 2010;300647;246125;714597;67193;45114;479953;546433;139040;166111;80001;89789;47591;190871;595113;222647;461495