"manad"	"i arbetskraften 1000-tal"	"i arbetskraften Felmarginal, 1000-tal"
"2001M01"	4526.6	..
"2001M02"	4566.3	..
"2001M03"	4565.6	..
"2001M04"	4573.3	..
"2001M05"	4602.7	..
"2001M06"	4781.7	..
"2001M07"	4775.2	..
"2001M08"	4666.6	..
"2001M09"	4591.9	..
"2001M10"	4583.8	..
"2001M11"	4568.1	..
"2001M12"	4591.5	..
"2002M01"	4549.3	..
"2002M02"	4573.5	..
"2002M03"	4615.1	..
"2002M04"	4570.0	..
"2002M05"	4611.5	..
"2002M06"	4829.3	..
"2002M07"	4772.0	..
"2002M08"	4679.6	..
"2002M09"	4625.1	..
"2002M10"	4587.4	..
"2002M11"	4602.0	..
"2002M12"	4612.3	..
"2003M01"	4563.3	..
"2003M02"	4576.7	..
"2003M03"	4633.3	..
"2003M04"	4611.8	..
"2003M05"	4651.2	..
"2003M06"	4837.8	..
"2003M07"	4805.6	..
"2003M08"	4686.9	..
"2003M09"	4639.5	..
"2003M10"	4620.5	..
"2003M11"	4606.0	..
"2003M12"	4622.5	..
"2004M01"	4589.3	..
"2004M02"	4603.3	..
"2004M03"	4655.0	..
"2004M04"	4658.8	..
"2004M05"	4687.7	..
"2004M06"	4825.0	..
"2004M07"	4860.3	..
"2004M08"	4711.5	..
"2004M09"	4663.8	..
"2004M10"	4629.3	..
"2004M11"	4615.0	..
"2004M12"	4632.3	..
"2005M01"	4615.8	..
"2005M02"	4613.2	..
"2005M03"	4632.4	..
"2005M04"	4651.8	40.5
"2005M05"	4704.7	43.5
"2005M06"	4919.6	42.1
"2005M07"	4875.2	40.8
"2005M08"	4780.8	39.3
"2005M09"	4658.9	38.4
"2005M10"	4669.5	37.1
"2005M11"	4686.7	38.5
"2005M12"	4697.1	36.7
"2006M01"	4669.4	35.3
"2006M02"	4659.1	34.1
"2006M03"	4697.6	34.3
"2006M04"	4721.8	35.2
"2006M05"	4712.2	38.5
"2006M06"	4965.0	34.5
"2006M07"	4973.5	36.0
"2006M08"	4834.2	35.0
"2006M09"	4730.4	35.5
"2006M10"	4764.7	36.0
"2006M11"	4735.6	36.2
"2006M12"	4714.5	35.8
"2007M01"	4772.7	36.9
"2007M02"	4746.0	36.3
"2007M03"	4748.3	38.4
"2007M04"	4794.9	34.1
"2007M05"	4828.1	37.2
"2007M06"	4983.4	37.9
"2007M07"	5035.0	35.2
"2007M08"	4924.7	37.0
"2007M09"	4790.8	35.5
"2007M10"	4831.5	35.1
"2007M11"	4827.3	35.8
"2007M12"	4786.9	34.7
"2008M01"	4801.2	36.0
"2008M02"	4828.5	35.0
"2008M03"	4833.0	36.9
"2008M04"	4868.7	36.3
"2008M05"	4882.6	35.1
"2008M06"	5101.6	37.3
"2008M07"	5092.9	35.2
"2008M08"	4940.5	35.7
"2008M09"	4853.8	35.3
"2008M10"	4872.8	37.4
"2008M11"	4862.9	37.6
"2008M12"	4827.3	34.7
"2009M01"	4829.2	35.3
"2009M02"	4846.9	33.6
"2009M03"	4862.4	35.3
"2009M04"	4863.1	34.8
"2009M05"	4932.3	35.7
"2009M06"	5109.3	35.9
"2009M07"	5044.2	37.3
"2009M08"	4930.2	36.1
"2009M09"	4882.3	36.5
"2009M10"	4852.2	37.5
"2009M11"	4859.2	36.4
"2009M12"	4868.2	37.0
"2010M01"	4843.2	33.6
"2010M02"	4866.6	33.2
"2010M03"	4891.2	35.6
"2010M04"	4937.3	32.8
"2010M05"	4919.9	32.8
"2010M06"	5133.0	35.1
"2010M07"	5146.8	34.4
"2010M08"	4966.8	34.0
"2010M09"	4934.1	35.2
"2010M10"	4918.9	33.5
"2010M11"	4898.8	34.2
"2010M12"	4905.1	33.8
"2011M01"	4938.6	32.3
"2011M02"	4942.4	33.9
"2011M03"	4950.1	33.9
"2011M04"	4995.1	33.2
"2011M05"	5000.1	33.8
"2011M06"	5209.3	34.1
"2011M07"	5178.3	32.9
"2011M08"	5066.9	33.7
"2011M09"	4974.3	33.8
"2011M10"	4988.7	33.6
"2011M11"	4971.7	33.7
"2011M12"	4970.3	32.2
"2012M01"	4933.6	33.3
"2012M02"	4965.1	33.0
"2012M03"	5020.4	32.9
"2012M04"	5004.1	34.5
"2012M05"	5047.2	33.9
"2012M06"	5264.8	34.6
"2012M07"	5226.2	34.3
"2012M08"	5099.2	33.4
"2012M09"	5048.4	33.7
"2012M10"	5031.9	34.1
"2012M11"	5021.8	33.6
"2012M12"	5028.6	32.4
"2013M01"	4998.3	32.3
"2013M02"	5023.9	33.0
"2013M03"	5090.5	33.1
"2013M04"	5086.6	33.7
"2013M05"	5084.5	33.6
"2013M06"	5299.5	33.9
"2013M07"	5286.3	33.5
"2013M08"	5143.4	33.6
"2013M09"	5089.1	33.8
"2013M10"	5119.8	34.2
"2013M11"	5085.9	34.2
"2013M12"	5059.7	33.3
"2014M01"	5055.4	33.6
"2014M02"	5080.2	34.4
"2014M03"	5141.2	33.9
"2014M04"	5143.0	35.1
"2014M05"	5158.9	35.4
"2014M06"	5362.0	35.3
"2014M07"	5361.7	35.2
"2014M08"	5251.2	35.2
"2014M09"	5180.1	35.4
"2014M10"	5160.4	35.7
"2014M11"	5165.2	36.4
"2014M12"	5122.9	35.0
"2015M01"	5146.4	35.9
"2015M02"	5162.7	35.8
"2015M03"	5181.2	36.8
"2015M04"	5194.1	36.8
"2015M05"	5249.3	36.7
"2015M06"	5358.6	36.5
"2015M07"	5352.3	36.1
"2015M08"	5298.2	37.1
"2015M09"	5179.3	36.7
"2015M10"	5202.1	35.6
"2015M11"	5197.4	37.5
"2015M12"	5165.7	36.0
"2016M01"	5178.7	36.6
"2016M02"	5201.8	37.8
"2016M03"	5238.3	37.4
"2016M04"	5253.7	37.6
"2016M05"	5291.7	38.5
"2016M06"	5431.8	37.6
"2016M07"	5400.3	37.1
"2016M08"	5310.5	38.4
"2016M09"	5232.5	37.0
"2016M10"	5267.9	38.5
"2016M11"	5274.5	39.1
"2016M12"	5230.2	36.5
"2017M01"	5264.9	37.8
"2017M02"	5311.8	38.7
"2017M03"	5325.3	37.5
"2017M04"	5351.7	38.1
"2017M05"	5370.3	39.2
"2017M06"	5536.0	38.2
"2017M07"	5525.9	37.6
"2017M08"	5434.8	39.0
"2017M09"	5383.7	39.6
"2017M10"	5377.7	38.7
"2017M11"	5343.2	40.1
"2017M12"	5325.9	39.2
"2018M01"	5344.7	38.8
"2018M02"	5376.0	39.0
"2018M03"	5390.0	39.8
"2018M04"	5409.5	39.1
"2018M05"	5453.5	38.8
"2018M06"	5599.3	39.9
"2018M07"	5617.0	56.0
"2018M08"	5472.4	55.2
"2018M09"	5404.5	57.7
"2018M10"	5403.7	56.0
"2018M11"	5411.0	54.5
"2018M12"	5410.9	54.7
"2019M01"	5371.4	55.4
"2019M02"	5426.8	55.7
"2019M03"	5520.6	57.2
"2019M04"	5474.2	56.3
"2019M05"	5443.9	57.0
"2019M06"	5655.6	57.0
"2019M07"	5658.8	56.9
"2019M08"	5546.4	58.5
"2019M09"	5499.6	59.3
"2019M10"	5467.9	59.3
"2019M11"	5517.2	59.2
"2019M12"	5444.4	58.6
"2020M01"	5444.1	56.8
"2020M02"	5530.5	55.6
