date;na_vac;sa_vac;;;;;;
2004Q1;36292;35671;;;;;;
2004Q2;41036;36284;;;;;;
2004Q3;36715;40067;;;;;;
2004Q4;36040;38144;;;;;;
2005Q1;37510;36821;;;;;;
2005Q2;45963;41018;;;;;;
2005Q3;38187;41703;;;;;;
2005Q4;45121;47550;;;;;;
2006Q1;49486;48378;;;;;;
2006Q2;47554;42557;;;;;;
2006Q3;44060;47522;;;;;;
2006Q4;45379;48542;;;;;;
2007Q1;52874;51233;;;;;;
2007Q2;61242;55848;;;;;;
2007Q3;52125;55843;;;;;;
2007Q4;52125;56120;;;;;;
2008Q1;57170;54803;;;;;;
2008Q2;55017;49182;;;;;;
2008Q3;47653;51548;;;;;;
2008Q4;35828;41023;;;;;;
2009Q1;37991;34968;;;;;;
2009Q2;36107;28926;;;;;;
2009Q3;27605;32441;;;;;;
2009Q4;32643;39306;;;;;;
2010Q1;44142;40039;;;;;;
2010Q2;56975;48033;;;;;;
2010Q3;48501;54737;;;;;;
2010Q4;50496;59080;;;;;;
2011Q1;66247;60221;;;;;;
2011Q2;78365;67848;;;;;;
2011Q3;58345;66584;;;;;;
2011Q4;55413;65475;;;;;;
2012Q1;77402;68980;;;;;;
2012Q2;79537;68231;;;;;;
2012Q3;54729;65027;;;;;;
2012Q4;52709;63572;;;;;;
2013Q1;73501;62609;;;;;;
2013Q2;71011;59779;;;;;;
2013Q3;50665;62764;;;;;;
2013Q4;56511;67576;;;;;;
2014Q1;80131;67230;;;;;;
2014Q2;81590;70494;;;;;;
2014Q3;58693;72324;;;;;;
2014Q4;62805;74287;;;;;;
2015Q1;92324;77348;;;;;;
2015Q2;90430;79537;;;;;;
2015Q3;70964;85741;;;;;;
2015Q4;81056;93436;;;;;;
2016Q1;111752;94838;;;;;;
2016Q2;107951;96755;;;;;;
2016Q3;83466;99220;;;;;;
2016Q4;92201;106052;;;;;;
2017Q1;127413;108648;;;;;;
2017Q2;120983;109136;;;;;;
2017Q3;97724;114174;;;;;;
2017Q4;101456;117079;;;;;;
2018Q1;140586;120431;;;;;;
2018Q2;133526;120501;;;;;;
2018Q3;103403;120592;;;;;;
2018Q4;103726;120861;;;;;;
2019Q1;143769;122679;;;;;;
2019Q2;136739;122679;;;;;;
2019Q3;99187;116940;;;;;;
2019Q4;96569;114620;;;;;;