date;employed;vacancies;vac_rate;;;
2009Q1;4076877;30150;0,73953666;;;
2009Q2;4044519;27064;0,6691525;;;
2009Q3;4019646;34767;0,864926911;;;
2009Q4;4016654;42451;1,056874702;;;
2010Q1;4010842;36397;0,907465315;;;
2010Q2;4018772;47211;1,174761843;;;
2010Q3;4056886;56250;1,386531443;;;
2010Q4;4080256;60801;1,49012709;;;
2011Q1;4120309;57965;1,406811965;;;
2011Q2;4153750;67697;1,629780319;;;
2011Q3;4199861;67345;1,603505449;;;
2011Q4;4205747;66162;1,573133144;;;
2012Q1;4216471;67959;1,61175068;;;
2012Q2;4234037;68238;1,61165337;;;
2012Q3;4237663;65381;1,542855107;;;
2012Q4;4252982;63731;1,498501522;;;
2013Q1;4266483;62282;1,459797215;;;
2013Q2;4283409;59771;1,395407256;;;
2013Q3;4293679;62914;1,465270226;;;
2013Q4;4304723;67580;1,569903569;;;
2014Q1;4322945;67159;1,553547408;;;
2014Q2;4332776;70487;1,626832313;;;
2014Q3;4344068;72362;1,665765821;;;
2014Q4;4372511;74293;1,699092352;;;
2015Q1;4380839;77331;1,765209815;;;
2015Q2;4414038;79527;1,801683628;;;
2015Q3;4435906;85743;1,93293095;;;
2015Q4;4489477;93461;2,081779236;;;
2016Q1;4508273;94833;2,103532772;;;
2016Q2;4518085;96723;2,140796377;;;
2016Q3;4549328;99222;2,181025417;;;
2016Q4;4592566;106103;2,310320636;;;
2017Q1;4629123;108653;2,347161655;;;
2017Q2;4659874;109047;2,340127652;;;
2017Q3;4684956;114163;2,436799833;;;
2017Q4;4702611;117227;2,492806656;;;
2018Q1;4738357;120433;2,541661593;;;
2018Q2;4775351;120305;2,519291252;;;
2018Q3;4814193;120579;2,504656544;;;
2018Q4;4831532;121131;2,507092988;;;
2019Q1;4849609;122676;2,529605995;;;
2019Q2;4868677;122367;2,51335219;;;
2019Q3;4848541;116919;2,411426448;;;
2019Q4;4851781;115020;2,37067584;;;