,date,u_sa,u_trend,sa_vac,na_vac,e_sa,e_trend,recession,gap_change,sa_vac_rate
0,2004Q1,7.3,7.28,35671,36292,4333700,4338350,0,-3.1934940884257537,0.8155196328504138
1,2004Q2,7.4,7.4,36284,41036,4327900,4339740,0,-0.31765484870351585,0.8291545018948708
2,2004Q3,7.4,7.4,40067,36715,4337100,4337880,0,-0.4393746055632413,0.9152006636900812
3,2004Q4,7.4,7.4,38144,36040,4331200,4334150,0,0.012863951915080005,0.8724024505213968
4,2005Q1,7.3,7.51,36821,37510,4337700,4332290,1,-2.2197937233218004,0.8427572565677549
5,2005Q2,7.9,7.67,41018,45963,4340100,4336360,1,0.9101963563574962,0.9370449616185762
6,2005Q3,7.7,7.74,41703,38187,4344600,4348130,1,-0.5120633073947739,0.9499905805072767
7,2005Q4,7.6,7.66,47550,45121,4375000,4365010,1,0.26504141057114616,1.0776057436046196
8,2006Q1,7.5,7.49,48378,49486,4383000,4386650,0,-2.3076540046448297,1.0908161120966993
9,2006Q2,7.3,7.22,42557,47554,4407700,4414950,0,2.2294201894337466,0.9547264872494872
10,2006Q3,6.9,6.89,47522,44060,4453600,4448910,0,0.3120971452726722,1.0568824347838464
11,2006Q4,6.5,6.57,48542,45379,4475500,4481280,0,-0.018556834903447367,1.0716094363089763
12,2007Q1,6.4,6.31,51233,52874,4507200,4507860,0,0.2534500937444131,1.1237542204118232
13,2007Q2,6.1,6.13,55848,61242,4525800,4532160,0,-0.05635660275207854,1.2172603012026135
14,2007Q3,6.0,6.03,55843,52125,4560200,4554880,0,0.03555281115919642,1.2111549533554715
15,2007Q4,6.1,5.95,56120,52125,4573200,4577010,0,0.14572069121258285,1.2112761783071055
16,2008Q1,5.9,5.88,54803,57170,4595100,4596100,0,-0.37092826754115793,1.17833031563978
17,2008Q2,6.0,5.92,49182,55017,4606200,4605710,0,-0.4328255394320564,1.056565866619462
18,2008Q3,6.2,6.21,51548,47653,4594600,4598620,1,-1.041481332733441,1.1085190900629827
19,2008Q4,6.7,6.75,41023,35828,4579600,4573550,1,110.48593995491397,0.8889879952056235
20,2009Q1,7.4,7.41,34968,37991,4541300,4541460,1,0.26019147271103876,0.7640893727597157
21,2009Q2,8.4,8.09,28926,36107,4504800,4510660,1,0.09222821157891335,0.6371946692936317
22,2009Q3,8.6,8.58,32441,27605,4469200,4491080,1,0.09606938212575998,0.7171625819798338
23,2009Q4,8.8,8.86,39306,32643,4485200,4484220,1,0.033051069449879435,0.8689239323483495
24,2010Q1,8.9,8.92,40039,44142,4485800,4490160,1,-0.42431212642942995,0.8838243088217538
25,2010Q2,8.7,8.76,48033,56975,4512200,4508000,1,-0.3146835161355274,1.0542724339353995
26,2010Q3,8.5,8.45,54737,48501,4534500,4536040,1,-0.18575622047301424,1.1923253950257222
27,2010Q4,8.1,8.12,59080,50496,4562000,4569920,1,-0.4917289188747373,1.2763015770144739
28,2011Q1,7.9,7.88,60221,66247,4605900,4600680,1,-0.2712317235118096,1.2920463232323536
29,2011Q2,7.8,7.76,67848,78365,4623700,4621210,1,0.3653434571662278,1.446943074707116
30,2011Q3,7.6,7.72,66584,58345,4630200,4632610,1,-0.6362363185101131,1.4169238384284624
31,2011Q4,7.8,7.69,65475,55413,4642100,4641840,1,4.06159822702015,1.390920301700651
32,2012Q1,7.7,7.73,68980,77402,4642600,4649990,1,0.08590015310382183,1.4617596636554164
33,2012Q2,7.9,7.88,68231,79537,4657700,4655000,1,0.12696705694762697,1.4445831677510586
34,2012Q3,8.1,8.04,65027,54729,4657200,4659690,1,0.27872016509995645,1.3763152375052305
35,2012Q4,8.2,8.13,63572,52709,4668900,4667910,1,0.2797740850516669,1.3435959388622847
36,2013Q1,8.1,8.1,62609,73501,4681000,4681060,1,-0.17968610869907037,1.3198433533199723
37,2013Q2,8.0,8.03,59779,71011,4696100,4697550,1,0.15397185709665204,1.2565664472648412
38,2013Q3,8.0,7.99,62764,50665,4708900,4711830,1,-0.01932541645342622,1.3145410897764291
39,2013Q4,8.0,8.01,67576,56511,4732000,4722980,1,-0.1454293813029008,1.4106087059623142
40,2014Q1,8.1,8.01,67230,80131,4731100,4738920,1,-0.11133269974500082,1.3988327455447707
41,2014Q2,8.0,7.97,70494,81590,4758500,4763010,1,-0.17997592041354168,1.4584450535263858
42,2014Q3,7.8,7.9,72324,58693,4802800,4787510,1,-0.10185537949557244,1.4881989796359298
43,2014Q4,7.8,7.84,74287,62805,4797000,4802010,1,-0.18533939480025363,1.5234305867751698
44,2015Q1,7.7,7.72,77348,92324,4810600,4810740,1,-0.48387098544244467,1.5823774040074565
45,2015Q2,7.6,7.49,79537,90430,4815000,4825820,1,-0.5911451870492347,1.6214314269073586
46,2015Q3,7.1,7.24,85741,70964,4851400,4847610,0,-2.599863543307089,1.737987019370809
47,2015Q4,7.1,7.09,93436,81056,4871200,4869230,0,0.8022761437316973,1.8827783292286848
48,2016Q1,7.1,7.03,94838,111752,4879400,4885950,0,-0.22962226228080815,1.9040762224772465
49,2016Q2,6.9,6.96,96755,107951,4911800,4898500,0,-0.43847074906511163,1.9369381543084387
50,2016Q3,6.8,6.89,99220,83466,4903900,4917590,0,-0.09807427572980199,1.977750801804334
51,2016Q4,6.9,6.82,106052,92201,4946200,4946880,0,0.2197681324823684,2.0988210409322745
52,2017Q1,6.7,6.77,108648,127413,4990100,4981000,0,-0.3925441331123343,2.13468593505877
53,2017Q2,6.7,6.72,109136,120983,5009300,5011040,0,2.170210135259411,2.1314892300577166
54,2017Q3,6.7,6.64,114174,97724,5037600,5034600,0,0.6939889067968144,2.217498767667798
55,2017Q4,6.5,6.47,117079,101456,5049900,5057370,0,-0.19954152888384036,2.262637045992723
56,2018Q1,6.2,6.31,120431,140586,5080600,5078690,0,0.19777628222250698,2.316372325244979
57,2018Q2,6.3,6.26,120501,133526,5095400,5093580,0,0.10542393756171649,2.3110688153866423
58,2018Q3,6.4,6.33,120592,103403,5096900,5102530,0,-0.6334028046713897,2.308810707465765
59,2018Q4,6.4,6.46,120861,103726,5114500,5108280,0,1.2245537876539494,2.3112974004717026
60,2019Q1,6.8,6.62,122679,143769,5115800,5113630,0,-0.35806204180666945,2.3428525703887986
61,2019Q2,6.5,6.77,122679,136739,5121300,5121390,0,-0.31907040317471785,2.339385694581822
62,2019Q3,6.9,6.85,116940,99187,5134000,5133770,0,-0.19431987094997727,2.2271273789639876
63,2019Q4,6.8,6.86,114620,96569,5152500,5150320,0,-0.6575389960688414,2.1770428532898762
