year;quarter;e_sa;e_trend
01;1;4338,0;4340,74
01;2;4343,7;4344,11
01;3;4349,6;4349,01
01;4;4354,3;4354,65
02;1;4366,3;4358,00
02;2;4358,0;4358,60
02;3;4354,7;4358,67
02;4;4362,1;4360,32
03;1;4359,3;4360,02
03;2;4357,8;4354,58
03;3;4345,4;4345,06
03;4;4335,6;4338,27
04;1;4333,7;4338,35
04;2;4327,9;4339,74
04;3;4337,1;4337,88
04;4;4331,2;4334,15
05;1;4337,7;4332,29
05;2;4340,1;4336,36
05;3;4344,6;4348,13
05;4;4375,0;4365,01
06;1;4383,0;4386,65
06;2;4407,7;4414,95
06;3;4453,6;4448,91
06;4;4475,5;4481,28
07;1;4507,2;4507,86
07;2;4525,8;4532,16
07;3;4560,2;4554,88
07;4;4573,2;4577,01
08;1;4595,1;4596,10
08;2;4606,2;4605,71
08;3;4594,6;4598,62
08;4;4579,6;4573,55
09;1;4541,3;4541,46
09;2;4504,8;4510,66
09;3;4469,2;4491,08
09;4;4485,2;4484,22
10;1;4485,8;4490,16
10;2;4512,2;4508,00
10;3;4534,5;4536,04
10;4;4562,0;4569,92
11;1;4605,9;4600,68
11;2;4623,7;4621,21
11;3;4630,2;4632,61
11;4;4642,1;4641,84
12;1;4642,6;4649,99
12;2;4657,7;4655,00
12;3;4657,2;4659,69
12;4;4668,9;4667,91
13;1;4681,0;4681,06
13;2;4696,1;4697,55
13;3;4708,9;4711,83
13;4;4732,0;4722,98
14;1;4731,1;4738,92
14;2;4758,5;4763,01
14;3;4802,8;4787,51
14;4;4797,0;4802,01
15;1;4810,6;4810,74
15;2;4815,0;4825,82
15;3;4851,4;4847,61
15;4;4871,2;4869,23
16;1;4879,4;4885,95
16;2;4911,8;4898,50
16;3;4903,9;4917,59
16;4;4946,2;4946,88
17;1;4990,1;4981,00
17;2;5009,3;5011,04
17;3;5037,6;5034,60
17;4;5049,9;5057,37
18;1;5080,6;5078,69
18;2;5095,4;5093,58
18;3;5096,9;5102,53
18;4;5114,5;5108,28
19;1;5115,8;5113,63
19;2;5121,3;5121,39
19;3;5134,0;5133,77
19;4;5152,5;5150,32